source,file_path,created_at,updated_at,scraper_version
to,/Volumes/Samsam/Public/USIdata/ads-nieruchomosci/apartamenty-sloneczne-klimontowska-47m-sosnowiec-sielec-apartamenty-na-sprzedaz/usi_to_8772104.json,2026-05-25T02:05:00.562344,2026-05-25T02:05:00.562347,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/ads-nieruchomosci-sp-z-o-o/apartamenty-sloneczne/usi_oto_4guo8.json,2026-05-25T02:06:17.975392,2026-05-25T02:06:17.975393,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/ae-invest-sj/osiedle-morska-bryza-etap-ii/usi_oto_4st9L.json,2026-05-25T02:06:17.967208,2026-05-25T02:06:17.967209,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/aedium/kamienica-zeusa-gdanski-kowale/usi_rp_16461.json,2026-05-25T02:06:17.964410,2026-06-02T23:13:17.133335,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/aedium-sp-zo-o/nowa-przystan-rumia/usi_oto_4twdN.json,2026-05-25T02:06:17.952609,2026-05-25T02:06:17.952611,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/afi-home-zlota-zelazna/afi-home-zlota-83-zelazna-24-warszawa/usi_oto_4jDHU.json,2026-05-25T02:06:17.947364,2026-05-25T02:06:17.947368,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/aforta/widok800-karkonoski-szklarska-poreba/usi_rp_10701.json,2026-05-25T02:06:17.943053,2026-06-02T23:13:17.111013,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/ag-multigroup/osiedle-panorama-bialy-kamien/usi_oto_4sA0k.json,2026-05-25T02:06:17.936983,2026-05-25T02:06:17.936984,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agbakar-sp-z-o-o-sp-komandytowa/green-park-lomza-ul-rycerska-ks-stanislawa/usi_oto_4fzq7.json,2026-05-25T02:06:17.932445,2026-05-25T02:06:17.932446,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agena-development/rytm-natury/usi_oto_4A9fl.json,2026-05-25T02:06:17.928755,2026-05-25T02:06:17.928757,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/agencja-inwestycyjna-sp-z-o-o/osiedle-sady/usi_oto_4AxWR.json,2026-05-25T02:06:17.912587,2026-05-25T02:06:17.912588,v0.7.0+
